Date,Time,Temperature,Humidity,Pressure,Compass,Accelerometer_raw_x,Accelerometer_raw_y,Accelerometer_raw_z,Compass_raw_x,Compass_raw_y,Compass_raw_z,Gyroscope_raw_x,Gyroscope_raw_y,Gyroscope_raw_z,Default
2020-04-12 04:38:08.920191,0,7,5,7,3,1,3,0,4,6,7,9,8,7
2020-04-12 04:38:22.224093,8,6,1,6,3,5,8,4,2,5,7,0,0,5
2020-04-12 04:38:23.308737,8,8,9,9,3,0,9,8,9,8,3,6,2,0
2020-04-12 04:38:24.392486,5,0,1,1,3,1,6,3,7,1,6,2,8,2
2020-04-12 04:38:25.476213,3,7,7,5,4,4,5,6,2,5,9,0,5,4
2020-04-12 04:38:26.563953,8,2,4,0,3,7,8,8,3,6,3,1,8,3
2020-04-12 04:38:28.706407,3,8,3,3,3,7,2,7,7,2,6,7,9,1
2020-04-12 04:38:29.791165,6,2,9,4,3,5,4,6,7,4,5,6,4,4
2020-04-12 04:38:30.875171,5,6,4,4,3,8,5,6,7,5,3,9,4,9
2020-04-12 04:38:31.963391,5,3,3,1,5,1,6,1,0,4,0,6,0,8
2020-04-12 04:38:33.052390,5,3,6,2,3,3,6,4,5,8,1,1,2,0
2020-04-12 04:38:35.206980,8,3,3,9,3,4,9,6,5,8,3,9,6,1
2020-04-12 04:38:36.295181,9,9,3,4,3,4,6,0,3,3,7,9,4,6
2020-04-12 04:38:37.379304,0,6,7,3,4,8,3,2,5,3,3,9,8,7
2020-04-12 04:38:38.468571,4,2,0,5,3,0,9,7,7,1,6,2,7,0
2020-04-12 04:38:39.557470,3,1,0,3,3,5,9,2,8,9,5,9,3,5
2020-04-12 04:38:41.704281,3,6,5,8,4,5,8,6,0,2,7,1,7,2
2020-04-12 04:38:54.376130,1,9,4,3,3,5,3,0,1,8,5,5,0,2
2020-04-12 04:38:55.461850,9,9,9,1,4,5,8,5,9,1,6,1,9,3
2020-04-12 04:38:56.549818,5,6,3,1,3,4,3,5,3,6,5,9,9,2
2020-04-12 04:38:57.638147,6,4,4,5,4,8,3,5,1,1,5,1,4,5
2020-04-12 04:38:59.776294,6,1,0,1,4,0,8,8,0,6,3,9,2,5
2020-04-12 04:39:00.861914,8,7,5,5,4,1,8,2,4,6,1,2,7,4
2020-04-12 04:39:01.950469,3,0,9,3,3,1,8,7,7,1,1,7,8,5
2020-04-12 04:39:03.035593,3,9,0,7,3,1,8,7,0,4,7,9,9,6
2020-04-12 04:39:04.124019,3,4,0,6,4,4,2,9,6,8,5,2,7,1
2020-04-12 04:39:06.265540,5,3,7,4,3,5,8,9,5,2,6,6,2,9
